Petal_width;Petal_length;Sepal_width;Sepal_length;Species_name
0.2;1.4;3.5;5.1; Setosa
0.2;1.4;3;4.9; Setosa
0.2;1.3;3.2;4.7; Setosa
0.1;1.5;4.1;5.2; Setosa
0.2;1.4;4.2;5.5; Setosa
0.2;1.5;3.1;4.9; Setosa
0.2;1.2;3.2;5; Setosa
0.2;1.3;3.5;5.5; Setosa
0.1;1.4;3.6;4.9; Setosa
0.2;1.3;3;4.4; Setosa
0.2;1.5;3.4;5.1; Setosa
0.3;1.3;3.5;5; Setosa
0.3;1.3;2.3;4.5; Setosa
0.2;1.3;3.2;4.4; Setosa
1.5;4.5;3;5.4; Versicolor
1.6;4.5;3.4;6; Versicolor
1.5;4.7;3.1;6.7; Versicolor
1.3;4.4;2.3;6.3; Versicolor
1.3;4.1;3;5.6; Versicolor
1.3;4;2.5;5.5; Versicolor
1.2;4.4;2.6;5.5; Versicolor
1.4;4.6;3;6.1; Versicolor
1.2;4;2.6;5.8; Versicolor
1;3.3;2.3;5; Versicolor
1.3;4.2;2.7;5.6; Versicolor
1.2;4.2;3;5.7; Versicolor
1.3;4.2;2.9;5.7; Versicolor
1.3;4.3;2.9;6.2; Versicolor
1.1;3;2.5;5.1; Versicolor
1.3;4.1;2.8;5.7; Versicolor
2.5;6;3.3;6.3; Verginica
1.9;5.1;2.7;5.8; Verginica
2.1;5.9;3;7.1; Verginica
1.8;5.6;2.9;6.3; Verginica
2.2;5.8;3;6.5; Verginica
2.1;6.6;3;7.6; Verginica
1.7;4.5;2.5;4.9; Verginica
1.8;6.3;2.9;7.3; Verginica
1.8;5.8;2.5;6.7; Verginica
